Kenpom.com,Team,Mascot,Conference,Team First season (Div I)
Tennessee Martin,Tennessee–Martin,Skyhawks,Ohio Valley Conference,2016–17
Tennessee St.,Tennessee State,Tigers,Ohio Valley Conference,2014–15
Tennessee Tech,Tennessee Tech,Golden Eagles,Ohio Valley Conference,2011–12
Texas,Texas,Longhorns,Big 12 Conference,2015–16
Texas A&M,Texas A&M,Aggies,Southeastern Conference,2011–12
Texas A&M Corpus Chris,Texas A&M–Corpus Christi,Islanders,Southland Conference,2011–12
UT Arlington,Texas–Arlington,Mavericks,Sun Belt Conference,2006–07
Texas Southern,Texas Southern,Tigers,Southwestern Athletic Conference,2012–13
Texas St.,Texas State,Bobcats,Sun Belt Conference,2013–14
Texas Tech,Texas Tech,Red Raiders,Big 12 Conference,2016–17
Toledo,Toledo,Rockets,Mid-American Conference,2010–11
Towson,Towson,Tigers,Colonial Athletic Association,2011–12
Troy,Troy,Trojans,Sun Belt Conference,2013–14
Tulane,Tulane,Green Wave,American Athletic Conference,2016–17
Tulsa,Tulsa,Golden Hurricane,American Athletic Conference,2014–15
UAB,UAB,Blazers,Conference USA,2016–17
UC Davis,UC Davis,Aggies,Big West Conference,2011–12
UCF,UCF,Knights,American Athletic Conference,2016–17
UC Irvine,UC Irvine,Anteaters,Big West Conference,2010–11
UC Riverside,UC Riverside,Highlanders,Big West Conference,2013–14
UC Santa Barbara,UC Santa Barbara,Gauchos,Big West Conference,1998–99
UCLA,UCLA,Bruins,Pac-12 Conference,2013–14
Illinois Chicago,UIC,Flames,Horizon League,2015–16
Massachusetts,UMass,Minutemen,Atlantic 10 Conference,2008–09
UMass Lowell,UMass Lowell,River Hawks,America East Conference,2013–14
UMBC,UMBC,Retrievers,America East Conference,2016–17
UMKC,UMKC,Kangaroos,Western Athletic Conference,2013–14
UNC Asheville,UNC Asheville,Bulldogs,Big South Conference,2013–14
UNC Greensboro,UNC Greensboro,Spartans,Southern Conference,2011–12
UNC Wilmington,UNC Wilmington,Seahawks,Colonial Athletic Association,2014–15
UNLV,UNLV,Runnin' Rebels,Mountain West Conference,2016–17
USC,USC,Trojans,Pac-12 Conference,2013–14
Utah,Utah,Utes,Pac-12 Conference,2011–12
Utah St.,Utah State,Aggies,Mountain West Conference,2015–16
Utah Valley,Utah Valley,Wolverines,Western Athletic Conference,2015–16
UTEP,UTEP,Miners,Conference USA,2010–11
UT Rio Grande Valley,UTRGV,Vaqueros,Western Athletic Conference,2016–17
UTSA,UTSA,Roadrunners,Conference USA,2016–17
Valparaiso,Valparaiso,Crusaders,Horizon League,2016–17
Vanderbilt,Vanderbilt,Commodores,Southeastern Conference,2016–17
VCU,VCU,Rams,Atlantic 10 Conference,2015–16
Vermont,Vermont,Catamounts,America East Conference,2011–12
Villanova,Villanova,Wildcats,Big East Conference,2001–02
Virginia,Virginia,Cavaliers,Atlantic Coast Conference,2009–10
Virginia Tech,Virginia Tech,Hokies,Atlantic Coast Conference,2014–15
VMI,VMI,Keydets,Southern Conference,2015–16
Wagner,Wagner,Seahawks,Northeast Conference,2012–13
Wake Forest,Wake Forest,Demon Deacons,Atlantic Coast Conference,2014–15
Washington,Washington,Huskies,Pac-12 Conference,2002–03
Washington St.,Washington State,Cougars,Pac-12 Conference,2014–15
